status.screen.third_description_end_free_trial|Ihr Trial-Account wird 30 Tage nach dem Ende Ihres Test-Zeitraums automatisch gelöscht. Gehen Sie auf Nummer sicher und melden Sie sich an - nur so sichern Sie Ihre bereits geleistete Arbeit an Ihren Kanälen.
status.screen.upgrade_account_button|Ich bin bereit mich anzumelden!
status.screen.refresh_action| Meinen Account aktualisieren
product.screen.title|Produkt exportieren
product.screen.nb_exported|Produkte exportiert
product.screen.nb_available|Produkte verfügbar
product.screen.include_specific_product|Spezifische Produkte einbeziehen
product.screen.include_specific_product_support|Verwenden Sie diese Option, um Ihre Produkte einzeln auszuwählen
product.screen.button_download|Download
product.table.id|ID
product.table.name|Name
product.table.custom_name|Name im %{store_name}
product.table.type|Typ
product.table.attribut_set_name|Kategorie
product.table.sku|SKU
product.table.price|Preis
product.table.quantity|Anzahl
product.table.visibility|Visibilität
product.table.status|Status
product.table.websites|Website
product.table.publish_on_lengow|Im Export inkludieren?
product.table.change_publication|Lengows Eintrag ändern
product.table.publication|Eintrag
order.screen.title|Bestellungen
order.screen.button_import|Bestellungen synchronisieren
order.screen.button_migrate|Diese Nachricht nicht mehr anzeigen
order.screen.debug_warning_message|Sie sind im Debug Mode. Sie können Bestellungen importieren, die Interaktion mit Lengow ist aber nicht möglich. <a href=%{url}>Ändern Sie dies</a>
order.screen.nb_old_order_imported|Mit Lengow haben Sie bereits %{nb_order} Bestellungen importiert und abgewickelt
order.screen.order_visible_in_page|%{nb_order} Bestellungen warten auf Ihren Versand und sind hier ersichtlich
order.screen.where_see_old_order|Sie können die abgewickelten Bestellungen in der Magento-Bestellübersicht einsehen
order.screen.all_order_will_be_sent_to| Alle Bestellfehler-Reports werden per Email gesendet
order.screen.no_order_will_be_sent|Bestellfehler-Reports werden per Email nicht gesendet
order.screen.change_this|Dies ändern?
order.screen.last_order_importation|Letzte Synchronisierung: %{last_importation}
order.screen.no_order_importation|Derzeit keine Synchronisierung
order.screen.order_with_error|Sie haben %{nb_order} Bestellung(en) mit Fehlern
order.screen.order_to_be_sent|Sie haben %{nb_order} Bestellung(en) die zum Versand bereit sind
order.screen.ajax_timeout|Während der Synchronisierung der Bestellungen kam es zu einem Time-Out-Fehler. Bitte aktualisieren Sie die Seite.
order.screen.lengow_information|Informationen zu Lengow
order.screen.feed_id|Feed-ID
order.screen.delivery_address_id| Lieferaddresse-ID
order.screen.currency|Währung
order.screen.commission|Kommission
order.screen.customer_email|Kunden-EMail
order.screen.carrier| Spediteur des Marktplatzes
order.screen.carrier_method|Versandart des Marktplatzes
order.screen.carrier_tracking|Sendungsverfolgungsnummer
order.screen.carrier_id_relay|ID Abholstation
order.screen.is_express|Expresszustellung
order.screen.is_delivered_by_marketplace|Wird vom Marktplatz
order.screen.is_business|Business
order.screen.imported_at|Importiert am
order.screen.message|Nachricht
order.screen.extra|JSON Format 
order.screen.not_lengow_order|Diese Bestellung ist nicht von Lengow
order.screen.not_follow_by_lengow| Aufgrund eines erneuten Imports, wird diese Bestellung durch Lengow nicht verfolgt
order.screen.cancel_and_reimport|Bestellungen erneut importieren
order.screen.check_cancel_and_reimport|Wollen Sie wirklich die Bestellung erneut importieren?
order.screen.synchronize_id|ID synchronisieren
order.screen.resend_action| Aktion erneut senden
order.screen.check_resend_action|Wollen Sie wirklich die Bestellung %{action}?
order.screen.vat_number|Vat number
order.table.lengow_action|Aktionen
order.table.lengow_state|Status
order.table.order_types|Typen
order.table.marketplace_name|Marktplatz
order.table.store|Shop
order.table.marketplace_sku|Bestellungs ID
order.table.magento_sku|Magento-Referenz
order.table.magento_status|Magento-Status
order.table.order_date|Datum
order.table.customer_name|Kundenname
order.table.country|Land
order.table.total_paid|Menge
order.table.action_success|Erfolg
order.table.action_error|Fehler
order.table.order_not_imported| Bestellung konnte in Magento nicht importiert werden
order.table.action_sent|Aktivität %{action_type} gesendet
order.table.not_imported|nicht importiert
order.table.not_sent|nicht gesendet
order.table.action_waiting_return| Aktivität gesendet, warten auf Antwort
order.table.action_sent_not_work|An Marktplatz gesendete Aktivität funktioniert nicht
order.table.no_error_message|Ein nicht identifizierbarer Fehler ist aufgetreten. Bitte kontaktieren Sie unseren Support!
order.table.status_not_synchronized|nicht synchronisiert
order.table.status_accepted|Akzeptiert
order.table.status_waiting_shipment|Warten auf Versand
order.table.status_shipped|Versandt
order.table.status_closed| Abgeschlossen
order.table.status_refunded|Erstattet
order.table.status_canceled|Abgebrochen
order.table.type_express|Expresszustellung
order.table.type_delivered_by_marketplace|Wird vom Marktplatz
order.table.type_business|Business
order.table.nb_product|%{nb} produkt(en)
order.table.button_reimport_order|Bestellungen erneut importieren
order.table.button_resend_order|Bestellungen erneut versenden
log.screen.title|Lengow Logs
log.table.id|ID
log.table.date|Datum
log.table.message|Nachricht
help.screen.title|Lassen Sie sich etwas von Ihrem Support-Team unterstützen
help.screen.contain_text_support|Kontaktieren Sie uns bei Fragen und teilen Sie uns Ihr Feedback mit über den
help.screen.title_lengow_support|Lengow Support.
help.screen.link_lengow_support|https://supportlengow.zendesk.com/hc/en-us/requests/new
help.screen.need_some_help|Brauchen Sie Hilfe?
help.screen.contain_text_support_hour|Wir werden alles tun, um Sie während der normalen Geschäftszeiten (Montag - Freitag von 09:00 - 18:00 (MEZ+1)) zurückzurufen.
help.screen.find_answer|Sie können Antworten auch in unserem... finden
help.screen.link_magento_guide|Magentos Begleithandbuch
help.screen.knowledge_link_url|https://support.lengow.com/kb/guide/en/magento-ClPhE37tgf/Steps/25858
legals.screen.simplified_company|Gesellschaft mit einfacher Haftungsbeschränkung
legals.screen.social_capital|Soziales Kapital:
legals.screen.cnil_declaration|CNIL Erklärung:
legals.screen.company_registration_number|Firmenregistrierungsnummer (Nantes):
legals.screen.vat_identification_number|MwSt.-Identifikationsnummer:
legals.screen.address|Adresse
legals.screen.contact|Vertrag
legals.screen.hosting|Hosting
toolbox.screen.title|Lengow Toolbox
toolbox.screen.global_information|Globale Information
toolbox.screen.checklist_information|Checkliste
toolbox.screen.curl_message|Lengow benötigt die CURL-PHP-Erweiterung
toolbox.screen.curl_help|Die CURL-Erweiterung ist in Ihrer PHP-Installation nicht installiert oder aktiviert
toolbox.screen.curl_help_link|http://www.php.net/manual/en/curl.setup.php
toolbox.screen.curl_help_label|Gehen Sie zum Handbuch zur Curl PHP-Erweiterung
toolbox.screen.simple_xml_message|Lengow benötigt die SimpleXML-PHP-Erweiterung
toolbox.screen.simple_xml_help|Die SimpleXML-Erweiterung ist in Ihrer PHP-Installation nicht installiert oder aktiviert
toolbox.screen.simple_xml_help_link|http://www.php.net/manual/en/book.simplexml.php
toolbox.screen.simple_xml_help_label|Gehen Sie zum SimpleXML PHP-Erweiterungshandbuch
toolbox.screen.json_php_message|Lengow benötigt die JSON-PHP-Erweiterung
toolbox.screen.json_php_help|Die JSON-Erweiterung ist in Ihrer PHP-Installation nicht installiert oder aktiviert
toolbox.screen.json_php_help_link|http://www.php.net/manual/fr/book.json.php
toolbox.screen.json_php_help_label|Gehen Sie zum Handbuch zur JSON PHP-Erweiterung
toolbox.screen.checksum_message|Prüfung von Plugin-Dateien
toolbox.screen.checksum_help|Einige Dateien wurden vom Kunden geändert
toolbox.screen.plugin_information|Information zum Plugin
toolbox.screen.server_ip|Server IP
toolbox.screen.authorized_ip_enable|Autorisierung über IP aktiviert
toolbox.screen.authorized_ip|Autorisierte IP
toolbox.screen.legacy_enable| Rechtliche Felder aktiviert
toolbox.screen.export_on_a_file|Export auf Datei aktiviert
toolbox.screen.export_cron_enable| Magento-cronjob für Export aktiviert
toolbox.screen.debug_disabled|Debug Mode ist deaktiviert
toolbox.screen.write_permission|Genehmigung vom Mediumordner schreiben
toolbox.screen.toolbox_url|Toolbox-URL
toolbox.screen.import_information|Import information
toolbox.screen.global_token|Import Token
toolbox.screen.url_import|Import-URL
toolbox.screen.import_cron_enable|Magento Cron-Job für Export aktiviert
toolbox.screen.nb_order_imported|Bestellungen importiert durch Lengow
toolbox.screen.nb_order_to_be_sent|Bestellungen die auf den Versand warten.
toolbox.screen.nb_order_with_error|Fehlerhaste Bestellungen
toolbox.screen.import_in_progress|Import in Bearbeitung
toolbox.screen.no_import|Kein Import in Bearbeitung
toolbox.screen.rest_time_to_import|Gedulden Sie sich %{rest_time} Sekunden bis zum nächsten Import
toolbox.screen.store_last_import|Letzter Import
toolbox.screen.store_type_import|Letzter Import Type
toolbox.screen.last_import_none|Kein
toolbox.screen.last_import_cron|Cron
toolbox.screen.last_import_manual|manuell
toolbox.screen.store_information|Shopinformationen
toolbox.screen.export_information|Exportinformationen
toolbox.screen.store_active|Shop von Lengow gefolgt
toolbox.screen.store_catalog_id|Lengow Kataloge id synchronisiert
toolbox.screen.store_export_token|Export Token
toolbox.screen.store_last_export|Letzter Export
toolbox.screen.store_product_total|Produkt im Shop verfügbar
toolbox.screen.store_product_exported|Produkte in den Shop exportiert
toolbox.screen.url_export|Export-URL für diesen Shop
toolbox.screen.content_folder_media|Contentordner Medien
toolbox.screen.folder_path|Ordnerpfad
toolbox.screen.file_list|Dateiliste
toolbox.screen.no_file_exported|Es wurde keine Datei exportiert
toolbox.screen.cron_information|Magento cron Planung
toolbox.screen.export_cron|Lengow-Export cronjobs
