order.table.order_date|Date de la commande
order.table.customer_name|Nom du client
order.table.country|Pays
order.table.items|Quantité
order.table.total_paid|Prix total 
order.table.action_success|Succès
order.table.action_error|Erreur
order.table.order_not_imported|Votre commande n'a pas été importée dans Magento
order.table.action_sent|L'action %{action_type} envoyée
order.table.not_imported|pas importée
order.table.not_sent|pas envoyée
order.table.action_waiting_return|Action envoyée, en attente d'une réponse.
order.table.action_sent_not_work|L'action envoyée à la place de marché ne fonctionne pas 
order.table.status_not_synchronized|Non synchronisé
order.table.status_accepted|Accepté
order.table.status_waiting_shipment|En attente d'expédition
order.table.status_shipped|Expédié
order.table.status_closed|Fermé
order.table.status_refunded|Remboursé
order.table.status_shipped_by_mkp|Expédié par la place de marché
order.table.status_canceled|Annulé
order.table.button_reimport_order|Réimporter les commandes
order.table.button_resend_order|Renvoyer mes commandes
log.screen.title|Logs Lengow
log.table.id|ID
log.table.date|Date
log.table.message|Message
help.screen.title|Demandez de l'aide à notre équipe Support !
help.screen.contain_text_support|Des questions, un feedback sur Lengow... transmettez vos demandes au
help.screen.title_lengow_support|support Lengow.
help.screen.link_lengow_support|https://supportlengow.zendesk.com/hc/fr/requests/new
help.screen.need_some_help|Besoin d'aide ?
help.screen.contain_text_support_hour|Nous ferons notre maximum pour revenir vers vous au plus vite (Notre équipe Support est disponible du lundi au vendredi, de 9h à 18h).
help.screen.find_answer|Vous pouvez aussi consulter
help.screen.link_magento_guide|notre guide dédié à Magento
help.screen.knowledge_link_url|https://fr.lengow.help/help/magento
legals.screen.simplified_company|Société par actions simplifiés
legals.screen.social_capital|Capital social :
legals.screen.cnil_declaration|Déclaration CNIL :
legals.screen.company_registration_number|RCS de Nantes :
legals.screen.vat_identification_number|Numéro de TVA intracommunautaire :
legals.screen.address|Adresse
legals.screen.contact|Contact
legals.screen.hosting|Hébergement
toolbox.screen.title|Lengow Toolbox
toolbox.screen.gobal_information|Information générales
toolbox.screen.plugin_information|Informations sur le plugin
toolbox.screen.server_ip|IP Serveur
toolbox.screen.authorized_ip_enable|Autorisation par IP activée
toolbox.screen.authorized_ip|IP autorisée(s)
toolbox.screen.legacy_enable|Activez les en-têtes de la version antérieure dans votre flux
toolbox.screen.export_on_a_file|Sauvegarde dans un fichier activée
toolbox.screen.export_cron_enable|Le cron Magento est activé pour l'export
toolbox.screen.pre_production_enable|Mode préproduction désactivé
toolbox.screen.write_permission|Droit d'écriture sur le dossier média
toolbox.screen.import_information|Information sur la synchronisation
toolbox.screen.global_token|Token d'import
toolbox.screen.url_import|URL d'import
toolbox.screen.import_cron_enable|Le cron Magento est activé pour l'import
toolbox.screen.nb_order_imported|Commandes importées par Lengow
toolbox.screen.nb_order_to_be_sent|Commandes en attente d'expédition
